VCS WKID	Name	WKT	Area of Use	Minimum Latitude	Minimum Longitude	Maximum Latitude	Maximum Longitude
  5786	Baltic_1982	VERTCS["Baltic_1982",VDATUM["Baltic_1982"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Bulgaria - onshore	  41.240	  22.360	  44.230	  28.680
  5612	Baltic_depth	VERTCS["Baltic_depth",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	Europe - FSU, Czechoslovakia - onshore	  35.140	  12.090	  77.790	-169.570
  5752	Bandar_Abbas	VERTCS["Bandar_Abbas",VDATUM["Bandar_Abbas"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Iran - onshore	  25.020	  44.030	  39.780	  63.340
  5732	Belfast	VERTCS["Belfast",VDATUM["Belfast"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	UK - Northern Ireland - onshore	  53.960	  -8.180	  55.360	  -5.340
115806	BGS2005	VERTCS["BGS2005",DATUM["Bulgaria_Geodetic_System_2005",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Bulgaria	  41.240	  22.360	  44.230	  31.350
  5735	Black_Sea	VERTCS["Black_Sea",VDATUM["Black_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Georgia - onshore	  41.040	  39.990	  43.590	  46.720
  5336	Black_Sea_Depth	VERTCS["Black_Sea_Depth",VDATUM["Black_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	Georgia - onshore	  41.040	  39.990	  43.590	  46.720
  5760	Bluff	VERTCS["Bluff",VDATUM["Bluff"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	New Zealand - South Island - Bluff vcrs	 -46.710	 168.010	 -46.260	 168.860
  5607	Bora_Bora_SAU_2001	VERTCS["Bora_Bora_SAU_2001",VDATUM["Bora_Bora_SAU_2001"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	French Polynesia - Society Islands - Bora Bora	 -16.620	-151.860	 -16.390	-151.610
115704	Cadastre_1997	VERTCS["Cadastre_1997",DATUM["D_Cadastre_1997",SPHEROID["International_1924",6378388.0,297.0]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Mayotte - onshore	 -13.050	  44.980	 -12.610	  45.350
  6184	Cais_da_Figueirinha-Angra_do_Heroismo_height	VERTCS["Cais_da_Figueirinha-Angra_do_Heroismo_height",VDATUM["Cais_da_Figueirinha-Angra_do_Heroismo"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Portugal - Azores C - Terceira onshore	  38.570	 -27.440	  38.860	 -26.970
  6182	Cais_da_Madalena_height	VERTCS["Cais_da_Madalena_height",VDATUM["Cais_da_Madalena"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Portugal - Azores C - Pico onshore	  38.320	 -28.610	  38.610	 -27.980
  6178	Cais_da_Pontinha-Funchal_height	VERTCS["Cais_da_Pontinha-Funchal_height",VDATUM["Cais_da_Pontinha-Funchal"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Portugal - Madeira and Desertas islands onshore	  32.350	 -17.310	  32.930	 -16.400
  6180	Cais_das_Velas_height	VERTCS["Cais_das_Velas_height",VDATUM["Cais_das_Velas"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Portugal - Azores C - S Jorge onshore	  38.480	 -28.370	  38.800	 -27.710
  6186	Cais_da_Vila_do_Porto_height	VERTCS["Cais_da_Vila_do_Porto_height",VDATUM["Cais_da_Vila_do_Porto"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Portugal - Azores E onshore - Santa Maria and Formigas	  36.870	 -25.260	  37.340	 -24.720
  6179	Cais_da_Vila-Porto_Santo_height	VERTCS["Cais_da_Vila-Porto_Santo_height",VDATUM["Cais_da_Vila-Porto_Santo"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Portugal - Porto Santo island onshore	  32.960	 -16.440	  33.150	 -16.230
  5780	Cascais	VERTCS["Cascais",VDATUM["Cascais"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Portugal - mainland - onshore	  36.950	  -9.560	  42.160	  -6.190
  5706	Caspian	VERTCS["Caspian",VDATUM["Caspian_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	Asia - FSU - Caspian Sea	  37.350	  46.950	  46.970	  53.930
  5611	Caspian_height	VERTCS["Caspian_height",VDATUM["Caspian_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Asia - FSU - Caspian Sea	  37.350	  46.950	  46.970	  53.930
  6132	CBVD61_height	VERTCS["CBVD61_height",VDATUM["Cayman_Brac_Vertical_Datum_1961"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Foot",0.3048]]	Cayman Islands - Cayman Brac	  19.660	 -79.920	  19.780	 -79.690
  5713	CGVD_1928	VERTCS["CGVD_1928",VDATUM["Canadian_Geodetic_Vertical_Datum_of_1928"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Canada - CGVD28	  41.670	-141.010	  69.800	 -59.730
  6647	CGVD2013_height	VERTCS["CGVD2013_height",VDATUM["Canadian_Geodetic_Vertical_Datum_of_2013"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Canada	  40.040	-141.010	  86.460	 -47.740
  5771	Chatham_Island	VERTCS["Chatham_Island",VDATUM["Chatham_Island"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	New Zealand - Chatham Island onshore	 -44.180	-176.920	 -43.670	-176.200
115705	China_Geodetic_Coordinate_System_2000	VERTCS["China_Geodetic_Coordinate_System_2000",DATUM["D_China_2000",SPHEROID["CGCS2000",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	China	  16.700	  73.620	  53.560	 134.770
115707	CIGD11	VERTCS["CIGD11",DATUM["D_Cayman_Islands_Geodetic_Datum_2011",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Cayman Islands	  17.580	 -83.600	  20.680	 -78.720
  5781	Constanta	VERTCS["Constanta",VDATUM["Constanta"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Romania - onshore	  43.620	  20.260	  48.270	  29.740
115708	CR05	VERTCS["CR05",DATUM["D_Costa_Rica_2005",SPHEROID["WGS_1984",6378137.0,298.257223563]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Costa Rica	   2.150	 -90.450	  11.770	 -81.430
  5792	Danger_1950	VERTCS["Danger_1950",VDATUM["Danger_1950"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	St Pierre and Miquelon - onshore	  46.690	 -56.480	  47.190	 -56.070
  5733	Dansk_Normal_Nul	VERTCS["Dansk_Normal_Nul",VDATUM["Dansk_Normal_Nul"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Denmark - onshore	  54.510	   8.000	  57.800	  15.240
115709	DB_REF	VERTCS["DB_REF",DATUM["D_Deutsche_Bahn_Reference_System",SPHEROID["Bessel_1841",6377397.155,299.1528128]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Germany - onshore	  47.270	   5.860	  55.090	  15.040
115710	DGN_1995	VERTCS["DGN_1995",DATUM["D_Datum_Geodesi_Nasional_1995",SPHEROID["WGS_1984",6378137.0,298.257223563]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Indonesia	 -13.250	  92.010	   7.790	 141.460
  7699	DHHN12_(height)	VERTCS["DHHN12_(height)",VDATUM["Deutsches_Haupthoehennetz_1912"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Germany - onshore	  47.270	   5.860	  55.090	  15.040
  7837	DHHN2016_(height)	VERTCS["DHHN2016_(height)",VDATUM["Deutsches_Haupthoehennetz_2016"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Germany - onshore	  47.270	   5.860	  55.090	  15.040
  5784	DHHN85	VERTCS["DHHN85",VDATUM["Deutches_Haupthoehennetz_1985"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Germany - West Germany all states	  47.270	   5.870	  55.090	  13.840
  5783	DHHN92	VERTCS["DHHN92",VDATUM["Deutches_Haupthoehennetz_1992"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Germany - onshore	  47.270	   5.860	  55.090	  15.040
  5750	Douglas	VERTCS["Douglas",VDATUM["Douglas"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Isle of Man - onshore	  54.020	  -4.870	  54.440	  -4.270
115711	DRUKREF_03	VERTCS["DRUKREF_03",DATUM["D_Bhutan_National_Geodetic_Datum",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Bhutan	  26.700	  88.750	  28.330	  92.120
  5761	Dunedin	VERTCS["Dunedin",VDATUM["Dunedin"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	New Zealand - South Island - Dunedin vcrs	 -46.400	 167.730	 -43.820	 171.280
  4458	Dunedin_Bluff_1960_height	VERTCS["Dunedin_Bluff_1960_height",VDATUM["Dunedin_Bluff_1960"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	New Zealand - South Island - Dunedin-Bluff vcrs	 -46.730	 166.370	 -44.520	 169.950
  5777	Durres	VERTCS["Durres",VDATUM["Durres"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Albania - onshore	  39.640	  19.220	  42.670	  21.060
  5799	DVR90	VERTCS["DVR90",VDATUM["Dansk_Vertikal_Reference_1990"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Denmark - onshore	  54.510	   8.000	  57.800	  15.240
  3855	EGM2008_Geoid	VERTCS["EGM2008_Geoid",VDATUM["EGM2008_Geoid"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5798	EGM84_Geoid	VERTCS["EGM84_Geoid",VDATUM["EGM84_Geoid"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5773	EGM96_Geoid	VERTCS["EGM96_Geoid",VDATUM["EGM96_Geoid"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5787	EOMA_1980	VERTCS["EOMA_1980",VDATUM["Baltic_1980"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Hungary	  45.740	  16.110	  48.580	  22.900
115712	Estonia_1997	VERTCS["Estonia_1997",DATUM["D_Estonia_1997",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Estonia	  57.520	  20.370	  60.000	  28.200
115701	ETRS_1989	VERTCS["ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Europe - ETRS89	  32.880	 -16.100	  84.170	  39.650
115713	EUREF_FIN	VERTCS["EUREF_FIN",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Finland	  58.840	  19.080	  70.090	  31.590
  5621	EVRF_2007	VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Europe - EVRF2007	  35.950	  -9.560	  71.210	  31.590
  5730	EVRS_2000	VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Europe - EVRF2000	  35.950	  -9.560	  71.210	  31.590
  5725	Fahud_Height_Datum_1993	VERTCS["Fahud_Height_Datum_1993",VDATUM["Fahud_Height_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Oman - mainland	  16.590	  51.990	  26.420	  59.910
  5741	Fair_Isle	VERTCS["Fair_Isle",VDATUM["Fair_Isle"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	UK - Fair Isle onshore	  59.450	  -1.760	  59.600	  -1.500
  7446	Famagusta_1960_(height)	VERTCS["Famagusta_1960_(height)",VDATUM["Famagusta_1960"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Cyprus - onshore	  34.590	  32.200	  35.740	  34.650
  5751	Fao	VERTCS["Fao",VDATUM["Fao"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Asia - Middle East -SE Iraq and SW Iran	  29.060	  44.300	  33.500	  51.060
  3886	Fao_1979	VERTCS["Fao_1979",VDATUM["Fao_1979"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Iraq - onshore	  29.060	  38.790	  37.390	  48.610
  5597	FCSVR10_Height	VERTCS["FCSVR10_Height",VDATUM["Fehmarnbelt_Vertical_Reference_2010"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Europe - Fehmarnbelt inner	  54.420	  11.170	  54.760	  11.510
115714	FEH2010	VERTCS["FEH2010",DATUM["D_Fehmarnbelt_Datum_2010",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Europe - Fehmarnbelt outer	  54.330	  10.660	  54.830	  12.010
  5748	Flannan_Isles	VERTCS["Flannan_Isles",VDATUM["Flannan_Isles"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	UK - Flannan Isles onshore	  58.210	  -7.750	  58.350	  -7.460
  5743	Foula	VERTCS["Foula",VDATUM["Foula"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	UK - Foula onshore	  60.060	  -2.210	  60.200	  -1.950
  5317	FVR09_height	VERTCS["FVR09_height",VDATUM["Faroe_Islands_Vertical_Reference_2009"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Faroe Islands - onshore	  61.330	  -7.490	  62.410	  -6.330
  6130	GCVD54_height	VERTCS["GCVD54_height",VDATUM["Grand_Cayman_Vertical_Datum_1954"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Foot",0.3048]]	Cayman Islands - Grand Cayman	  19.210	 -81.460	  19.410	 -81.040
115715	GDA_1994	VERTCS["GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Australia - GDA	 -60.560	  93.410	  -8.470	 173.400
115805	GDA2020	VERTCS["GDA2020",DATUM["GDA2020",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Australia - GDA	 -60.560	  93.410	  -8.470	 173.400
115716	GDBD2009	VERTCS["GDBD2009",DATUM["D_GDBD2009",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Brunei	   4.010	 112.370	   6.310	 115.370
115717	GDM_2000	VERTCS["GDM_2000",DATUM["D_GDM_2000",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Malaysia	   0.850	  98.020	   7.810	 119.610
  5214	Genoa_height	VERTCS["Genoa_height",VDATUM["Genoa"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Italy - mainland and Sicily	  36.590	   6.620	  47.100	  18.580
  5778	GHA	VERTCS["GHA",VDATUM["Gebrauchshohen_Adria"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Austria	  46.400	   9.530	  49.020	  17.170
  5762	Gisborne	VERTCS["Gisborne",VDATUM["Gisborne"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	New Zealand - North Island - Gisborne vcrs	 -39.040	 176.410	 -37.490	 178.630
115718	Greenland_1996	VERTCS["Greenland_1996",DATUM["D_Greenland_1996",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Greenland	  56.380	 -75.000	  87.030	   8.120
  5795	Guadeloupe_1951	VERTCS["Guadeloupe_1951",VDATUM["Guadeloupe_1951"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Guadeloupe - Grande-Terre and Basse-Terre - onshore	  15.880	 -61.850	  16.550	 -61.150
  6639	Guam_1963_height	VERTCS["Guam_1963_height",VDATUM["Guam_Vertical_Datum_of_1963"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Guam - onshore	  13.180	 144.580	  13.700	 145.010
  6644	GUVD04_height	VERTCS["GUVD04_height",VDATUM["Guam_Vertical_Datum_of_2004"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Guam - onshore	  13.180	 144.580	  13.700	 145.010
115719	Hartebeesthoek_1994	VERTCS["Hartebeesthoek_1994",DATUM["D_Hartebeesthoek_1994",SPHEROID["WGS_1984",6378137.0,298.257223563]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	South Africa	 -50.320	  13.330	 -22.130	  42.850
  5872	HAT_Height	VERTCS["HAT_Height",VDATUM["Highest_Astronomic_Tide"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5726	Ha_Tien_1960	VERTCS["Ha_Tien_1960",VDATUM["Ha_Tien_1960"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Asia - Cambodia and Vietnam - mainland	   8.500	 102.140	  23.330	 109.520
  5871	HHWLT_Height	VERTCS["HHWLT_Height",VDATUM["Higher_High_Water_Large_Tide"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5874	High_Water_Height	VERTCS["High_Water_Height",VDATUM["High_Water"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	World	 -90.000	-180.000	  90.000	 180.000
  5727	Hon_Dau_1992	VERTCS["Hon_Dau_1992",VDATUM["Hon_Dau_1992"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Vietnam - mainland	   8.500	 102.140	  23.330	 109.520
  5739	Hong_Kong_Chart_Datum	VERTCS["Hong_Kong_Chart_Datum",VDATUM["Hong_Kong_Chart_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	China - Hong Kong - offshore	  22.130	 113.760	  22.580	 114.510
  5738	Hong_Kong_Principal_Datum	VERTCS["Hong_Kong_Principal_Datum",VDATUM["Hong_Kong_Principal_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	China - Hong Kong - onshore	  22.190	 113.820	  22.560	 114.390
  6181	Horta_height	VERTCS["Horta_height",VDATUM["Horta"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Portugal - Azores C - Faial onshore	  38.460	 -28.900	  38.700	 -28.540
  5605	Huahine_SAU_2001	VERTCS["Huahine_SAU_2001",VDATUM["Huahine_SAU_2001"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	French Polynesia - Society Islands - Huahine	 -16.870	-151.110	 -16.630	-150.890
  5610	HVRS_1971	VERTCS["HVRS_1971",VDATUM["Croatian_Vertical_Reference_System_1971"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Croatia - onshore	  42.340	  13.430	  46.540	  19.430
115723	IG05(2012)_Intermediate_CRS	VERTCS["IG05(2012)_Intermediate_CRS",DATUM["IG05(2012)_Intermediate_Datum",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Asia - Middle East - Israel and Palestine Territory onshore	  29.450	  34.170	  33.280	  35.690
115721	IG05_Intermediate_CRS	VERTCS["IG05_Intermediate_CRS",DATUM["IG05_Intermediate_Datum",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Asia - Middle East - Israel and Palestine Territory onshore	  29.450	  34.170	  33.280	  35.690
115720	IGD05	VERTCS["IGD05",DATUM["Israel_Geodetic_Datum_2005",SPHEROID["WGS_1984",6378137.0,298.257223563]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Asia - Middle East - Israel and Palestine Territory onshore	  29.450	  34.170	  33.280	  35.690
115722	IGD05(2012)	VERTCS["IGD05(2012)",DATUM["Israeli_Geodetic_Datum_2005(2012)",SPHEROID["WGS_1984",6378137.0,298.257223563]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Asia - Middle East - Israel and Palestine Territory onshore	  29.450	  34.170	  33.280	  35.690
  5608	IGLD_1955	VERTCS["IGLD_1955",VDATUM["International_Great_Lakes_Datum_1955"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	North America - Great Lakes basin and St Lawrence Seaway	  40.990	 -93.170	  52.220	 -54.750
  5609	IGLD_1985	VERTCS["IGLD_1985",VDATUM["International_Great_Lakes_Datum_1985"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	North America - Great Lakes basin and St Lawrence Seaway	  40.990	 -93.170	  52.220	 -54.750
115724	IGM_1995	VERTCS["IGM_1995",DATUM["D_IGM_1995",SPHEROID["WGS_1984",6378137.0,298.257223563]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Italy - including San Marino and Vatican	  34.760	   5.930	  47.100	  18.990
  5601	IGN_1966	VERTCS["IGN_1966",VDATUM["IGN_1966"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	French Polynesia - Society Islands - Tahiti	 -17.930	-149.700	 -17.440	-149.090
