GCS WKID	Name	WKT	Accuracy (m)	Area of Use	Minimum Latitude	Minimum Longitude	Maximum Latitude	Maximum Longitude
  1103	Adindan_To_WGS_1984_4	GEOGTRAN["Adindan_To_WGS_1984_4",GEOGCS["GCS_Adindan",DATUM["D_Adindan",SPHEROID["Clarke_1880_RGS",6378249.145,293.465]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-165.0],PARAMETER["Y_Axis_Translation",-11.0],PARAMETER["Z_Axis_Translation",206.0]]	  6.000	Ethiopia	 3.4000	 32.9900	14.8900	 47.9900
  1104	Adindan_To_WGS_1984_5	GEOGTRAN["Adindan_To_WGS_1984_5",GEOGCS["GCS_Adindan",DATUM["D_Adindan",SPHEROID["Clarke_1880_RGS",6378249.145,293.465]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-123.0],PARAMETER["Y_Axis_Translation",-20.0],PARAMETER["Z_Axis_Translation",220.0]]	 44.000	Mali	10.1400	-12.2500	25.0100	  4.2600
  1105	Adindan_To_WGS_1984_6	GEOGTRAN["Adindan_To_WGS_1984_6",GEOGCS["GCS_Adindan",DATUM["D_Adindan",SPHEROID["Clarke_1880_RGS",6378249.145,293.465]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-128.0],PARAMETER["Y_Axis_Translation",-18.0],PARAMETER["Z_Axis_Translation",224.0]]	 44.000	Senegal - onshore	12.2900	-17.5900	16.7000	-11.3600
  1106	Adindan_To_WGS_1984_7	GEOGTRAN["Adindan_To_WGS_1984_7",GEOGCS["GCS_Adindan",DATUM["D_Adindan",SPHEROID["Clarke_1880_RGS",6378249.145,293.465]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-161.0],PARAMETER["Y_Axis_Translation",-14.0],PARAMETER["Z_Axis_Translation",205.0]]	  7.000	Africa - South Sudan and Sudan onshore	 3.4900	 21.8200	22.2400	 38.6600
  1107	Afgooye_To_WGS_1984	GEOGTRAN["Afgooye_To_WGS_1984",GEOGCS["GCS_Afgooye",DATUM["D_Afgooye",SPHEROID["Krasovsky_1940",6378245.0,298.3]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-43.0],PARAMETER["Y_Axis_Translation",-163.0],PARAMETER["Z_Axis_Translation",45.0]]	 44.000	Somalia - onshore	-1.7100	 40.9900	12.0300	 51.4700
  1278	AGD_1966_To_GDA_1994	GEOGTRAN["AGD_1966_To_GDA_1994",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-127.8],PARAMETER["Y_Axis_Translation",-52.3],PARAMETER["Z_Axis_Translation",152.9]]	  5.000	Australia - onshore	-43.7000	112.8500	-9.8600	153.6900
  1596	AGD_1966_To_GDA_1994_10_NTv2_New_South_Wales_and_Victoria	GEOGTRAN["AGD_1966_To_GDA_1994_10_NTv2_New_South_Wales_and_Victoria",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["NTv2"],PARAMETER["Dataset_australia/SEAust_21_06_00",0.0]]	  0.100	Australia - SE Australia (ACT NSW Vic)	-39.2000	140.9600	-28.1500	153.6900
  1803	AGD_1966_To_GDA_1994_11_NTv2	GEOGTRAN["AGD_1966_To_GDA_1994_11_NTv2",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["NTv2"],PARAMETER["Dataset_australia/A66_National_13_09_01",0.0]]	  0.100	Australia - onshore	-43.7000	112.8500	-9.8600	153.6900
 15979	AGD_1966_To_GDA_1994_12	GEOGTRAN["AGD_1966_To_GDA_1994_12",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",-117.808],PARAMETER["Y_Axis_Translation",-51.536],PARAMETER["Z_Axis_Translation",137.784],PARAMETER["X_Axis_Rotation",-0.303],PARAMETER["Y_Axis_Rotation",-0.446],PARAMETER["Z_Axis_Rotation",-0.234],PARAMETER["Scale_Difference",-0.29]]	  3.000	Australia - offshore	-47.2000	109.2300	-8.8800	163.2000
  5827	AGD_1966_To_GDA_1994_19	GEOGTRAN["AGD_1966_To_GDA_1994_19",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",-129.164],PARAMETER["Y_Axis_Translation",-41.188],PARAMETER["Z_Axis_Translation",130.718],PARAMETER["X_Axis_Rotation",-0.246],PARAMETER["Y_Axis_Rotation",-0.374],PARAMETER["Z_Axis_Rotation",-0.329],PARAMETER["Scale_Difference",-2.955]]	  0.500	Australia - Australian Capital Territory	-35.9300	148.7600	-35.1200	149.4000
  1458	AGD_1966_To_GDA_1994_2	GEOGTRAN["AGD_1966_To_GDA_1994_2",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",-129.193],PARAMETER["Y_Axis_Translation",-41.212],PARAMETER["Z_Axis_Translation",130.73],PARAMETER["X_Axis_Rotation",-0.246],PARAMETER["Y_Axis_Rotation",-0.374],PARAMETER["Z_Axis_Rotation",-0.329],PARAMETER["Scale_Difference",-2.955]]	  1.000	Australia - Australian Capital Territory	-35.9300	148.7600	-35.1200	149.4000
  1459	AGD_1966_To_GDA_1994_3	GEOGTRAN["AGD_1966_To_GDA_1994_3",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",-120.695],PARAMETER["Y_Axis_Translation",-62.73],PARAMETER["Z_Axis_Translation",165.46],PARAMETER["X_Axis_Rotation",-0.109],PARAMETER["Y_Axis_Rotation",0.141],PARAMETER["Z_Axis_Rotation",0.116],PARAMETER["Scale_Difference",2.733]]	  1.000	Australia - Tasmania	-43.7000	143.7700	-39.5200	148.5500
  1460	AGD_1966_To_GDA_1994_4	GEOGTRAN["AGD_1966_To_GDA_1994_4",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",-119.353],PARAMETER["Y_Axis_Translation",-48.301],PARAMETER["Z_Axis_Translation",139.484],PARAMETER["X_Axis_Rotation",-0.415],PARAMETER["Y_Axis_Rotation",-0.26],PARAMETER["Z_Axis_Rotation",-0.437],PARAMETER["Scale_Difference",-0.613]]	  1.000	Australia - New South Wales and Victoria	-39.2000	140.9600	-28.1500	153.6900
  1594	AGD_1966_To_GDA_1994_8	GEOGTRAN["AGD_1966_To_GDA_1994_8",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",-120.271],PARAMETER["Y_Axis_Translation",-64.543],PARAMETER["Z_Axis_Translation",161.632],PARAMETER["X_Axis_Rotation",-0.217],PARAMETER["Y_Axis_Rotation",0.067],PARAMETER["Z_Axis_Rotation",0.129],PARAMETER["Scale_Difference",2.499]]	  1.000	Australia - Tasmania	-43.7000	143.7700	-39.5200	148.5500
  1595	AGD_1966_To_GDA_1994_9	GEOGTRAN["AGD_1966_To_GDA_1994_9",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Coordinate_Frame"],PARAMETER["X_Axis_Translation",-124.133],PARAMETER["Y_Axis_Translation",-42.003],PARAMETER["Z_Axis_Translation",137.4],PARAMETER["X_Axis_Rotation",0.008],PARAMETER["Y_Axis_Rotation",-0.557],PARAMETER["Z_Axis_Rotation",-0.178],PARAMETER["Scale_Difference",-1.854]]	  1.000	Australia - Northern Territory	-26.0100	128.9900	-10.8600	138.0000
  1507	AGD_1966_To_GDA_1994_NTv2_Northern_Territory	GEOGTRAN["AGD_1966_To_GDA_1994_NTv2_Northern_Territory",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["NTv2"],PARAMETER["Dataset_australia/nt_0599",0.0]]	  0.100	Australia - Northern Territory	-26.0100	128.9900	-10.8600	138.0000
  1506	AGD_1966_To_GDA_1994_NTv2_Tasmania	GEOGTRAN["AGD_1966_To_GDA_1994_NTv2_Tasmania",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["NTv2"],PARAMETER["Dataset_australia/Tas_1098",0.0]]	  0.100	Australia - Tasmania	-43.7000	143.7700	-39.5200	148.5500
  1464	AGD_1966_To_GDA_1994_NTv2_Victoria	GEOGTRAN["AGD_1966_To_GDA_1994_NTv2_Victoria",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_GDA_1994",DATUM["D_GDA_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["NTv2"],PARAMETER["Dataset_australia/Vic_0799",0.0]]	  0.100	Australia - Victoria	-39.2000	140.9600	-33.9800	150.0400
  5662	AGD_1966_To_PNG_1994_1	GEOGTRAN["AGD_1966_To_PNG_1994_1",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_PNG94",DATUM["D_Papua_New_Guinea_Geodetic_Datum_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-124.0],PARAMETER["Y_Axis_Translation",-60.0],PARAMETER["Z_Axis_Translation",153.0]]	  2.000	Papua New Guinea - PFTB	-8.2800	142.2400	-5.5900	144.7500
  6937	AGD_1966_To_PNG_1994_2	GEOGTRAN["AGD_1966_To_PNG_1994_2",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_PNG94",DATUM["D_Papua_New_Guinea_Geodetic_Datum_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Position_Vector"],PARAMETER["X_Axis_Translation",-0.41],PARAMETER["Y_Axis_Translation",-2.37],PARAMETER["Z_Axis_Translation",2.0],PARAMETER["X_Axis_Rotation",3.592],PARAMETER["Y_Axis_Rotation",3.698],PARAMETER["Z_Axis_Rotation",3.989],PARAMETER["Scale_Difference",8.843]]	  1.000	Papua New Guinea - mainland onshore	-10.7600	140.8500	-2.5300	150.9600
  6938	AGD_1966_To_PNG_1994_3	GEOGTRAN["AGD_1966_To_PNG_1994_3",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_PNG94",DATUM["D_Papua_New_Guinea_Geodetic_Datum_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-129.0],PARAMETER["Y_Axis_Translation",-58.0],PARAMETER["Z_Axis_Translation",152.0]]	  4.000	Papua New Guinea - mainland onshore	-10.7600	140.8500	-2.5300	150.9600
  6939	AGD_1966_To_PNG_1994_4	GEOGTRAN["AGD_1966_To_PNG_1994_4",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_PNG94",DATUM["D_Papua_New_Guinea_Geodetic_Datum_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Position_Vector"],PARAMETER["X_Axis_Translation",-131.876],PARAMETER["Y_Axis_Translation",-54.554],PARAMETER["Z_Axis_Translation",453.346],PARAMETER["X_Axis_Rotation",-5.2155],PARAMETER["Y_Axis_Rotation",-8.2042],PARAMETER["Z_Axis_Rotation",0.09],PARAMETER["Scale_Difference",5.02]]	  1.000	Papua New Guinea - PFTB	-8.2800	142.2400	-5.5900	144.7500
  6940	AGD_1966_To_PNG_1994_5	GEOGTRAN["AGD_1966_To_PNG_1994_5",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_PNG94",DATUM["D_Papua_New_Guinea_Geodetic_Datum_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-131.3],PARAMETER["Y_Axis_Translation",-55.3],PARAMETER["Z_Axis_Translation",151.8]]	  2.000	Papua New Guinea - PFTB	-8.2800	142.2400	-5.5900	144.7500
  6941	AGD_1966_To_PNG_1994_6	GEOGTRAN["AGD_1966_To_PNG_1994_6",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_PNG94",DATUM["D_Papua_New_Guinea_Geodetic_Datum_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Position_Vector"],PARAMETER["X_Axis_Translation",45.928],PARAMETER["Y_Axis_Translation",-177.212],PARAMETER["Z_Axis_Translation",336.867],PARAMETER["X_Axis_Rotation",-4.6039],PARAMETER["Y_Axis_Rotation",-3.0921],PARAMETER["Z_Axis_Rotation",0.5729],PARAMETER["Scale_Difference",36.796]]	  0.500	Papua New Guinea - North Fly	-6.6000	140.8900	-5.0500	141.5400
  6942	AGD_1966_To_PNG_1994_7	GEOGTRAN["AGD_1966_To_PNG_1994_7",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_PNG94",DATUM["D_Papua_New_Guinea_Geodetic_Datum_1994",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-137.4],PARAMETER["Y_Axis_Translation",-58.9],PARAMETER["Z_Axis_Translation",150.4]]	  2.500	Papua New Guinea - North Fly	-6.6000	140.8900	-5.0500	141.5400
  1108	AGD_1966_To_WGS_1984	GEOGTRAN["AGD_1966_To_WGS_1984",GEOGCS["GCS_Australian_1966",DATUM["D_Australian_1966",SPHEROID["Australian",6378160.0,298.25]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-133.0],PARAMETER["Y_Axis_Translation",-48.0],PARAMETER["Z_Axis_Translation",148.0]]	  6.000	Australia - onshore	-43.7000	112.8500	-9.8600	153.6900
